dokum_no;C;MN;SI;S;P;AL;ALINS;ALSOL;CR;B;V;TI;MO;NI;NB;CA;ZN;FE;CEV;SB;SN;AS;CU;N;PB;ZR;firin_giris_uzunluk;firin_giris_agirlik;firin_kalis_suresi;lcc_kalma_suresi;firin_cikis_sicakligi;kutuk_desarj_sicakligi;tavlama_ortalama_sicaklik;tavlama_min_sicaklik;tavlama_max_sicaklik;dr10_kutuk_sicakligi;ortalama_descaler_basinci;min_descaler_basinci;max_descaler_basinci;max_meerdrive_giris_sicakligi;min_ meerdrive_giris_sicakligi;ortam_hava_sicakligi1;ortam_hava_sicakligi2;ortam_hava_sicakligi3;unit_agirlik;haddeleme_suresi;haddeleme_hizi
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12003;2124;114,9166667;4,216666667;1183;0;1179,543;1174;1186;1088,744;222,0321;220,7176;223,0324;933,9988;923,1771;16,06385;5,505952;8,141121;178;74,202;108,1754
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12142;2124;114,9166667;4,366666671;1183;0;1179,595;1174;1186;1083,825;222,4448;221,6435;223,2639;933,3623;918,4028;15,65651;5,297068;8,333333;178;74,5;108,1754
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12218;2124;114,8333333;4,350000001;1183,5;0;1179,689;1174;1186;1082,35;222,3647;221,0648;223,3796;931,7708;920,6308;15,68979;5,203301;8,463542;178;74,7;108,1754
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12092;2124;114,9333333;4,350000001;1184,5;0;1179,791;1174;1186;1071,036;222,2966;220,9491;223,6111;932,0891;919,6759;15,70306;5,24393;8,295863;178;74,302;108,1754
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12099;2124;114,9;4,350000001;1185;0;1179,857;1174;1186;1078,906;222,6941;221,5278;223,9583;932,7257;920,9491;15,54936;5,274678;8,13306;178;73,9;108,1754
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12173;2124;114,9333333;4,366666661;1186,5;0;1179,991;1174;1187;1073,987;222,2667;221,0648;223,4954;930,816;919,9942;15,24905;5,167376;8,166447;178;74,6;108,1754
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12153;2124;114,95;4,350000001;1188;0;1180,09;1174;1188;1082,35;222,0583;220,4861;223,0324;933,6805;921,5856;14,95527;5,050168;8,139334;178;74,3;108,1754
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12175;2124;115;4,350000001;1188,5;0;1180,255;1174;1188,5;1076,447;221,9373;219,7917;223,4954;934,3171;920,6308;14,61042;4,929447;8,010736;178;74,302;108,1754
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12198;2124;115;4,350000001;1190;0;1180,349;1174;1189,5;1075,463;222,0155;219,9074;223,4954;932,7257;912,9919;14,0994;4,773398;7,539078;178;74,398;108,1754
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12183;2124;115,0666667;4,350000001;1189,5;0;1180,443;1174;1190,5;1078,906;222,0531;220,4861;222,9167;933,6805;908,8542;13,50056;4,658667;7,135846;178;74,399;109,0482
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12123;2124;115,0833333;4,366666661;1187;0;1180,59;1174;1190,5;1078,906;222,0175;221,1806;222,6852;934,9537;921,5856;12,79562;4,617691;7,05371;178;73,8;110,1387
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12163;2124;115,0333333;4,383333331;1187;0;1180,641;1174;1190,5;1077,431;222,4626;221,5278;223,9583;934,9537;922,2222;12,53885;4,553346;7,139302;178;73,3;110,1387
2230035;0.0524;0.4989;0.1528;0.0177;0.0119;0.0035;0.0026;0.0009;0.0298;0.0002;0.0024;0.00037;0.002;0.04;0.0003;0.001;0.00051;98.902;0.152;0.005;0.0046;0.03877;0.0927;0.0056;0.0013;0.0012;12174;2124;115,1166667;4,350000001;1187;0;1180,695;1174;1190,5;1071,528;222,3202;221,5278;223,2639;935,272;903,4433;12,54553;4,617691;7,240069;178;73,2;110,1387
